"gene","cell","garp_score","p_value"
"AIFM1","BT-20","-0.1860818","0.545"
"AIFM1","BT-474","-0.1924604","0.48"
"AIFM1","BT-549","-0.3161523","0.415"
"AIFM1","CAL-51","-0.1444079","0.483"
"AIFM1","CAMA-1","-0.3178486","0.439"
"AIFM1","EFM-19","-0.04175597","0.823"
"AIFM1","HCC1143","-0.5312811","0.27"
"AIFM1","HCC1187","-0.2132985","0.621"
"AIFM1","HCC1395","-0.1788398","0.697"
"AIFM1","HCC1419","-0.2208152","0.374"
"AIFM1","HCC1428","-0.863292","0.168"
"AIFM1","HCC1500","-0.1699979","0.516"
"AIFM1","HCC1806","-0.5579066","0.323"
"AIFM1","HCC1937","-0.003036661","0.877"
"AIFM1","HCC1954","-0.1506253","0.496"
"AIFM1","HCC38","-0.1876848","0.628"
"AIFM1","Hs 578T","-0.09481154","0.4"
"AIFM1","KPL-1","-0.08991282","0.498"
"AIFM1","MCF7","-0.05427381","0.51"
"AIFM1","MDA-MB-157","-0.2876844","0.207"
"AIFM1","MDA-MB-231","-0.3315642","0.241"
"AIFM1","MDA-MB-361","-0.2278834","0.433"
"AIFM1","MDA-MB-436","-0.1994333","0.647"
"AIFM1","MDA-MB-453","0.02273532","0.904"
"AIFM1","MDA-MB-468","-0.008106507","0.928"
"AIFM1","SK-BR-3","-0.4071039","0.321"
"AIFM1","SW527","-0.1129173","0.539"
"AIFM1","T-47D","-0.362369","0.23"
"AIFM1","ZR-75-1","-0.4181868","0.222"
"AIFM1","609050M","-0.1440297","0.612"
"AIFM1","A2780","-0.02964229","0.635"
"AIFM1","A2780_CIS","-0.04010404","0.722"
"AIFM1","MM_OVCAR432_Bast_1","-0.2986468","0.811"
"AIFM1","OV-1946","-0.1907765","0.878"
"AIFM1","OV-90","-0.1819055","0.418"
"AIFM1","OVCA1369_TR","-2.136914","0.15"
"AIFM1","OVCA433_Bast","-0.2559811","0.878"
"AIFM1","OVCA5","-0.1792879","0.451"
"AIFM1","OVCA8","-0.1938567","0.565"
"AIFM1","OVCAR-3","-0.6255521","0.337"
"AIFM1","SK-OV-3","0.01719053","0.941"
"AIFM1","TOV-1946","-0.510366","0.273"
"AIFM1","TOV-2223G","-0.0641728","0.705"
"AIFM1","TOV-3133G","-0.08282771","0.603"
"AIFM1","AsPC-1","-0.06489938","0.78"
"AIFM1","BxPC-3","-0.4121358","0.237"
"AIFM1","CFPAC-1","0.01403507","0.991"
"AIFM1","Capan-2","-0.02595148","0.78"
"AIFM1","HPAC","-0.05665517","0.614"
"AIFM1","HPAF-II","-0.1505307","0.539"
"AIFM1","HPDE","-0.8485991","0.802"
"AIFM1","Hs 766T","-0.7627702","0.4"
"AIFM1","IMIM-PC-1","-0.1247089","0.457"
"AIFM1","IMIM-PC-2","-0.03973641","0.749"
"AIFM1","KP-3","-0.1213884","0.649"
"AIFM1","KP-4","-0.1800403","0.126"
"AIFM1","MIA PaCa-2","-0.1233316","0.262"
"AIFM1","PANC-1","-0.135029","0.42"
"AIFM1","PL45","-0.1229303","0.707"
"AIFM1","PaTu_8988S","-0.131681","0.265"
"AIFM1","PaTu_8988T","-0.1716307","0.212"
"AIFM1","Panc 02.03","-0.1868917","0.667"
"AIFM1","Panc 03.27","-0.1448172","0.347"
"AIFM1","Panc 04.03","-0.3047285","0.164"
"AIFM1","Panc 05.04","-0.2452354","0.618"
"AIFM1","Panc 08.13","-0.1582485","0.317"
"AIFM1","Panc 10.05","-0.142462","0.471"
"AIFM1","RWP-1","-0.03862993","0.774"
"AIFM1","SK-PC-1","-0.1236003","0.57"
"AIFM1","SK-PC-3","-0.5690039","0.222"
"AIFM1","SU.86.86","-0.1634046","0.237"
"AIFM1","SW1990","-0.115703","0.716"
"AK2","BT-20","-0.1062857","0.749"
"AK2","BT-474","-0.1220971","0.68"
"AK2","BT-549","-0.28483","0.479"
"AK2","CAL-51","-0.1122715","0.629"
"AK2","CAMA-1","-0.4584907","0.228"
"AK2","EFM-19","-0.002797442","0.925"
"AK2","HCC1143","-0.2000095","0.737"
"AK2","HCC1187","-0.3782619","0.282"
"AK2","HCC1395","-0.2424344","0.559"
"AK2","HCC1419","-0.1509802","0.565"
"AK2","HCC1428","-0.3627967","0.551"
"AK2","HCC1500","-0.1209645","0.675"
"AK2","HCC1806","-0.5663151","0.316"
"AK2","HCC1937","-0.09660684","0.589"
"AK2","HCC1954","-0.01652407","0.961"
"AK2","HCC38","-0.2430628","0.495"
"AK2","Hs 578T","-0.1318161","0.268"
"AK2","KPL-1","-0.09309427","0.463"
"AK2","MCF7","-0.05307165","0.52"
"AK2","MDA-MB-157","-0.03175593","0.913"
"AK2","MDA-MB-231","-0.01799889","0.869"
"AK2","MDA-MB-361","-0.1613242","0.585"
"AK2","MDA-MB-436","-0.1694513","0.741"
"AK2","MDA-MB-453","-0.03903436","0.383"
"AK2","MDA-MB-468","-0.012599","0.912"
"AK2","SK-BR-3","-0.2270915","0.618"
"AK2","SW527","-0.002232829","0.959"
"AK2","T-47D","-0.114745","0.801"
"AK2","ZR-75-1","-0.1474802","0.771"
"AK2","609050M","-0.06947918","0.872"
"AK2","A2780","-0.006499796","0.724"
"AK2","A2780_CIS","-0.09784209","0.474"
"AK2","MM_OVCAR432_Bast_1","-0.5713875","0.521"
"AK2","OV-1946","-0.3480448","0.636"
"AK2","OV-90","-0.1057957","0.646"
"AK2","OVCA1369_TR","-0.9845043","0.49"
"AK2","OVCA433_Bast","-0.9444489","0.205"
"AK2","OVCA5","-0.1918444","0.426"
"AK2","OVCA8","-0.05624581","0.893"
"AK2","OVCAR-3","-0.1116345","0.861"
"AK2","SK-OV-3","0.01127545","0.929"
"AK2","TOV-1946","-0.3008158","0.591"
"AK2","TOV-2223G","-0.1004568","0.617"
"AK2","TOV-3133G","-0.264393","0.169"
"AK2","AsPC-1","-0.08061937","0.721"
"AK2","BxPC-3","-0.3540486","0.319"
"AK2","CFPAC-1","-0.02257081","0.865"
"AK2","Capan-2","0.03537588","0.992"
"AK2","HPAC","-0.03269472","0.785"
"AK2","HPAF-II","-0.05582106","0.88"
"AK2","HPDE","-1.317752","0.658"
"AK2","Hs 766T","-0.809507","0.343"
"AK2","IMIM-PC-1","-0.1143503","0.512"
"AK2","IMIM-PC-2","-0.01325249","0.907"
"AK2","KP-3","-0.07166465","0.819"
"AK2","KP-4","-0.05603286","0.676"
"AK2","MIA PaCa-2","-0.008892762","0.939"
"AK2","PANC-1","-0.1035555","0.55"
"AK2","PL45","-0.05383296","0.918"
"AK2","PaTu_8988S","-0.02100524","0.838"
"AK2","PaTu_8988T","-0.03942791","0.903"
"AK2","Panc 02.03","-0.2738716","0.393"
"AK2","Panc 03.27","-0.01863171","0.914"
"AK2","Panc 04.03","-0.1046724","0.751"
"AK2","Panc 05.04","-0.2891157","0.496"
"AK2","Panc 08.13","-0.1418081","0.379"
"AK2","Panc 10.05","-0.05933053","0.757"
"AK2","RWP-1","-0.1330235","0.478"
"AK2","SK-PC-1","-0.1127041","0.607"
"AK2","SK-PC-3","-0.2536948","0.749"
"AK2","SU.86.86","0.03961223","0.976"
"AK2","SW1990","-0.2050502","0.386"
"ANP32A","BT-20","-0.09486084","0.776"
"ANP32A","BT-474","-0.1300085","0.653"
"ANP32A","BT-549","-0.1193921","0.843"
"ANP32A","CAL-51","-0.175585","0.334"
"ANP32A","CAMA-1","-0.3793975","0.322"
"ANP32A","EFM-19","-0.05289722","0.784"
"ANP32A","HCC1143","-0.07568206","0.892"
"ANP32A","HCC1187","-0.2247349","0.592"
"ANP32A","HCC1395","-0.1599115","0.743"
"ANP32A","HCC1419","-0.1918848","0.436"
"ANP32A","HCC1428","-0.2953353","0.637"
"ANP32A","HCC1500","-0.07672866","0.819"
"ANP32A","HCC1806","-0.4867082","0.415"
"ANP32A","HCC1937","-0.08844791","0.611"
"ANP32A","HCC1954","-0.06214937","0.817"
"ANP32A","HCC38","-0.07493036","0.879"
"ANP32A","Hs 578T","-0.03522606","0.73"
"ANP32A","KPL-1","-0.05557007","0.79"
"ANP32A","MCF7","-0.07166007","0.399"
"ANP32A","MDA-MB-157","-0.2044706","0.373"
"ANP32A","MDA-MB-231","-0.1854458","0.488"
"ANP32A","MDA-MB-361","-0.02308606","0.94"
"ANP32A","MDA-MB-436","-0.3013538","0.4"
